,Year,Week,number_of_failures
0,2019,1,4
1,2019,2,10
2,2019,3,30
3,2019,4,39
4,2019,5,45
5,2019,6,51
6,2019,7,40
7,2019,8,40
8,2019,9,57
9,2019,10,89
10,2019,11,49
11,2019,12,61
12,2019,13,51
13,2019,14,49
14,2019,15,54
15,2019,16,45
16,2019,17,57
17,2019,18,71
18,2019,19,57
19,2019,20,63
20,2019,21,56
21,2019,22,47
22,2019,23,53
23,2019,24,61
24,2019,25,53
25,2019,26,29
26,2019,27,16
27,2019,28,4
28,2019,29,10
29,2019,30,4
30,2019,31,3
31,2019,32,10
32,2019,33,5
33,2019,34,3
34,2019,35,6
35,2019,36,9
36,2019,37,6
37,2019,38,6
38,2019,39,9
39,2019,40,3
40,2019,41,6
41,2019,42,6
42,2019,43,5
43,2019,44,71
44,2019,45,32
45,2019,46,10
46,2019,47,11
47,2019,48,7
48,2019,49,8
49,2019,50,8
50,2019,51,7
51,2019,52,7
52,2020,1,6
53,2020,2,5
54,2020,3,5
55,2020,4,5
56,2020,5,33
57,2020,6,5
58,2020,7,6
59,2020,8,4
60,2020,9,5
61,2020,10,7
62,2020,11,11
63,2020,12,15
64,2020,13,16
65,2020,14,11
66,2020,15,6
67,2020,16,11
68,2020,17,6
69,2020,18,11
70,2020,19,9
71,2020,20,7
72,2020,21,8
73,2020,22,4
74,2020,23,2
75,2020,24,5
76,2020,25,11
77,2020,26,4
78,2020,27,15
79,2020,28,7
80,2020,29,13
81,2020,30,17
82,2020,31,8
83,2020,32,10
84,2020,33,19
85,2020,34,23
86,2020,35,19
87,2020,36,10
88,2020,37,14
89,2020,38,15
90,2020,39,22
91,2020,40,26
92,2020,41,11
93,2020,42,15
94,2020,43,30
95,2020,44,10
96,2020,45,16
97,2020,46,12
98,2020,47,15
99,2020,48,47
100,2020,49,18
101,2020,50,25
102,2020,51,21
103,2020,52,19
104,2020,53,17
105,2021,1,16
106,2021,2,25
107,2021,3,31
108,2021,4,17
109,2021,5,15
110,2021,6,12
111,2021,7,13
112,2021,8,11
113,2021,9,15
114,2021,10,28
115,2021,11,25
116,2021,12,11
117,2021,13,7
118,2021,14,8
119,2021,15,5
120,2021,16,9
121,2021,17,7
122,2021,18,19
123,2021,19,11
124,2021,20,5
125,2021,21,8
126,2021,22,10
127,2021,23,37
128,2021,24,100
129,2021,25,53
130,2021,26,37
131,2021,27,22
132,2021,28,42
133,2021,29,17
134,2021,30,18
135,2021,31,33
136,2021,32,28
137,2021,33,27
138,2021,34,21
139,2021,35,18
140,2021,36,23
141,2021,37,13
142,2021,38,7
143,2021,39,10
144,2021,40,19
145,2021,41,14
146,2021,42,7
147,2021,43,8
148,2021,44,6
149,2021,45,17
150,2021,46,11
151,2021,47,2
152,2021,48,11
153,2021,49,11
154,2021,50,18
155,2021,51,7
156,2021,52,6
157,2022,1,4
158,2022,2,4
159,2022,3,4
160,2022,4,11
161,2022,5,11
162,2022,6,7
163,2022,7,12
164,2022,8,17
165,2022,9,6
166,2022,10,5
167,2022,11,9
168,2022,12,11
169,2022,13,11
170,2022,14,8
171,2022,15,7
172,2022,16,4
173,2022,17,7
174,2022,18,7
175,2022,19,5
176,2022,20,18
177,2022,21,5
178,2022,22,4
179,2022,23,13
180,2022,24,8
181,2022,25,5
182,2022,27,5
183,2022,28,4
184,2022,29,4
185,2022,30,2
186,2022,31,5
187,2022,32,4
188,2022,33,5
189,2022,34,6
190,2022,35,6
191,2022,36,6
192,2022,37,4
193,2022,38,4
194,2022,39,4
195,2022,40,7
196,2022,41,4
197,2022,44,1
198,2022,45,2
199,2022,46,9
200,2022,47,5
201,2022,48,2
202,2022,49,3
203,2022,50,7
204,2022,51,2
205,2023,2,4
206,2023,3,14
207,2023,4,3
208,2023,5,4
209,2023,6,3
210,2023,7,4
211,2023,8,8
212,2023,9,4
213,2023,10,8
214,2023,11,9
215,2023,12,7
216,2023,13,6
217,2023,14,5
218,2023,15,6
219,2023,16,9
220,2023,17,5
221,2023,18,4
222,2023,19,7
223,2023,20,2
224,2023,21,8
225,2023,22,2
226,2023,23,3
227,2023,24,4
228,2023,25,5
229,2023,36,4
230,2023,37,3
231,2023,38,6
232,2023,39,7
233,2023,40,4
234,2023,41,7
235,2023,42,14
236,2023,43,5
237,2023,44,3
238,2023,45,16
239,2023,46,24
240,2023,47,12
241,2023,48,12
242,2023,49,13
243,2023,50,18
244,2023,51,4
